0,0,28707434|26534648|25212762|18809624,0,107478,ch_quest182_stage001|ch_quest183_stage001,0,4,mw_battlepass_billboard_000_a|mw_battlepass_billboard_000_b|mw_battlepass_billboard_000_c|mw_battlepass_billboard_000_d,1|0|0|0,1|1|0|0,0|0|0|0,,
1,107478,28704673,1,108353,,0,1,mw_battlepass_billboard_001,0,0,0,,
2,215831,30481555,0,109235,,0,1,mw_battlepass_billboard_002,0,0,0,,
3,325066,19262075,0,110125,,0,1,mw_battlepass_billboard_003,0,0,0,,
4,435191,32685436,0,111022,,0,1,mw_battlepass_billboard_004,0,0,0,,
5,546213,22091988,0,111925,,0,1,mw_battlepass_billboard_005,0,1,0,,
6,658138,350013,1,112837,,100,1,mw_battlepass_billboard_006,0,0,0,,
7,770975,32109261,0,113755,,0,1,mw_battlepass_billboard_007,0,0,0,,
8,884730,17959965,0,114682,,0,1,mw_battlepass_billboard_008,0,0,480143,mw_battlepass_billboard_008_alt,
9,999412,25607178,0,115615,,0,1,mw_battlepass_billboard_009,0,0,0,,
10,1115027,32845096,0,116557,ch_quest184_stage001,0,1,mw_battlepass_billboard_010,0,1,0,,
11,1231584,20673795,0,117506,,0,1,mw_battlepass_billboard_011,0,0,0,,
12,1349090,350013,0,118463,,100,1,mw_battlepass_billboard_012,0,0,0,,
13,1467553,19262075,0,119427,,0,1,mw_battlepass_billboard_013,0,0,0,,
14,1586980,30493284,0,120400,,0,1,mw_battlepass_billboard_014,0,0,0,,
15,1707380,27390472,1,121379,,0,1,mw_battlepass_billboard_015,1,1,0,,
16,1828759,18494854,0,122369,,0,1,mw_battlepass_billboard_016,0,0,0,,
17,1951128,350013,0,123364,,100,1,mw_battlepass_billboard_017,0,0,0,,
18,2074492,29301630,0,124369,,0,1,mw_battlepass_billboard_018,0,1,0,,
19,2198861,18501694,0,125382,,0,1,mw_battlepass_billboard_019,0,0,0,,
20,2324243,29122772,0,126403,ch_quest185_stage001,0,1,mw_battlepass_billboard_020,0,1,0,,
21,2450646,25456975,1,127432,,0,1,mw_battlepass_billboard_021,0,1,0,,
22,2578078,20181455,0,128469,,0,1,mw_battlepass_billboard_022,0,0,0,,
23,2706547,350013,0,129515,,100,1,mw_battlepass_billboard_023,0,0,0,,
24,2836062,29700941,1,130570,,0,1,mw_battlepass_billboard_024,0,1,0,,
25,2966632,22654383,0,131633,,0,1,mw_battlepass_billboard_025,0,0,0,,
26,3098265,33055169,0,132705,,0,1,mw_battlepass_billboard_026,0,0,480120,mw_battlepass_billboard_026_alt,
27,3230970,23996569,0,133786,,0,1,mw_battlepass_billboard_027,0,1,0,,
28,3364756,21519934,1,134874,,0,1,mw_battlepass_billboard_028,0,0,0,,
29,3499630,30886333,0,135973,,0,1,mw_battlepass_billboard_029,0,0,0,,
30,3635603,19740160,0,137080,ch_quest186_stage001,0,1,mw_battlepass_billboard_030,0,1,0,,
31,3772683,25073353,1,138197,,0,1,mw_battlepass_billboard_031,1,1,0,,
32,3910880,350013,0,139321,,100,1,mw_battlepass_billboard_032,0,0,0,,
33,4050201,27009349,0,140456,,0,1,mw_battlepass_billboard_033,0,0,0,,
34,4190657,18561343,1,141599,,0,1,mw_battlepass_billboard_034,0,0,0,,
35,4332256,28067309,0,142753,,0,1,mw_battlepass_billboard_035,0,1,0,,
36,4475009,28150952,0,143914,,0,1,mw_battlepass_billboard_036,0,0,0,,
37,4618923,18064244,1,145087,,0,1,mw_battlepass_billboard_037,0,0,0,,
38,4764010,33491974,0,146268,,0,1,mw_battlepass_billboard_038,0,1,0,,
39,4910278,21415515,1,147459,,0,1,mw_battlepass_billboard_039,0,0,480043,mw_battlepass_billboard_039_alt,
40,5057737,32687580,0,148659,ch_quest187_stage001,0,1,mw_battlepass_billboard_040,0,1,0,,
41,5206396,350013,0,149870,,100,1,mw_battlepass_billboard_041,0,0,0,,
42,5356266,21474582,0,151090,,0,1,mw_battlepass_billboard_042,0,1,0,,
43,5507356,32109261,0,152321,,0,1,mw_battlepass_billboard_043,0,0,0,,
44,5659677,17920452,1,153560,,0,1,mw_battlepass_billboard_044,0,0,0,,
45,5813237,23775422,0,154811,,0,1,mw_battlepass_billboard_045,0,1,0,,
46,5968048,27032621,0,156072,,0,1,mw_battlepass_billboard_046,0,0,0,,
47,6124120,32832240,0,157342,,0,1,mw_battlepass_billboard_047,0,0,0,,
48,6281462,350013,1,158623,,100,1,mw_battlepass_billboard_048,0,0,0,,
49,6440085,18337477,0,159915,,0,1,mw_battlepass_billboard_049,0,0,0,,
50,6600000,18657626,0,161217,ch_quest188_stage001,0,1,mw_battlepass_billboard_050,0,1,0,,
51,6761217,30135568,0,162530,,0,1,mw_battlepass_billboard_051,0,1,0,,
52,6923747,17903814,0,163853,,0,1,mw_battlepass_billboard_052,0,0,0,,
53,7087600,30886333,0,165187,,0,1,mw_battlepass_billboard_053,0,0,0,,
54,7252787,25968874,0,166532,,0,1,mw_battlepass_billboard_054,0,0,0,,
55,7419319,29781668,1,167888,,0,1,mw_battlepass_billboard_055,0,1,0,,
56,7587207,350013,0,169255,,100,1,mw_battlepass_billboard_056,0,0,0,,
57,7756462,19262075,0,170633,,0,1,mw_battlepass_billboard_057,0,0,0,,
58,7927095,25534970,0,172023,,0,1,mw_battlepass_billboard_058,0,0,0,,
59,8099118,31739254,0,173423,,0,1,mw_battlepass_billboard_059,0,1,0,,
